Seqid_1,n14k2,wt2,RelativeDelta
35,0.046082618988842,0.044429453906300355,0.035873939433475485
36,0.04143278917138097,0.041224626819427714,0.005024097004240323
37,0.04340963269965938,0.04178545209772049,0.03741521180739303
38,0.051760262773890314,0.04885650891915668,0.05610006014494942
39,0.042982211826565836,0.041645137078992873,0.031107630127739545
40,0.033755400516510874,0.033013146019209814,0.02198920723627611
41,0.06789112951447411,0.06420279347452336,0.05432721573978841
42,0.08590375648942201,0.08003282347379245,0.06834314651132276
43,0.05318627944275,0.05155509387282544,0.03066929266372874
44,0.07934461951941242,0.07685058796753332,0.03143290076863897
45,0.0595655769839298,0.056280633962986264,0.05514834552563441
46,0.15349775314175515,0.17135166141209754,-0.10419454426767462
47,0.23351030878057763,0.23942948578316528,-0.024722005241861644
48,0.10028899569159026,0.09884207563764381,0.014427505669675187
49,0.05884895826430545,0.055863858451024366,0.050724768990374536
50,0.08217131591710487,0.06966061816135638,0.15225139838784366
51,0.05174444660575719,0.05423694246262367,-0.04595568525242992
52,0.03388671074994153,0.033372821575357474,0.015164917550604869
53,0.022052892447629136,0.01989188465693537,0.09799203418897065
54,0.021307640377791235,0.022330802265383882,-0.04581841151218747
55,0.021735817622210274,0.022462455821968593,-0.03234900963267146
56,0.013943146642352104,0.015861762632261106,-0.12095856144050128
57,0.017197148967422735,0.020286915256486335,-0.1523034059145936
58,0.016526068350443523,0.019501359510084103,-0.15256839699314628
59,0.013365272930112396,0.013509975279630751,-0.010710778260011013
60,0.011488236724130364,0.012832903962149452,-0.10478277106921187
61,0.022370283542152213,0.02672739587932391,-0.16302045873995238
62,0.030523461416229827,0.03269776275499183,-0.0664969452208183
63,0.017549978950241324,0.017409552944473612,0.008001491407246434
64,0.021557010972847457,0.018859098954064017,0.12515241663984153
65,0.04376370673356775,0.04071207317274577,0.06972977813328837
66,0.05216062397910209,0.04856864877413997,0.06886373150752993
67,0.02768248080955736,0.0252512857753435,0.08782431932092202
68,0.03233364115706493,0.033848695945231905,-0.044759620595676036
69,0.027704121391389964,0.02707548357375757,0.02269112991353572
70,0.019633881461046474,0.019383409540570613,0.012757127059812188
71,0.029125267672109417,0.028866106566896605,0.008898153594000655
72,0.03093980023247833,0.031856118279200575,-0.02876427186423789
73,0.03944731396721398,0.040147561803957114,-0.017441852139427175
74,0.04627892948094207,0.04746841091133,-0.02505837898407552
75,0.16103217330098898,0.1558543680212697,0.03215385580148215
76,0.06955684439231584,0.06740117164074791,0.030991526001517028
77,0.07019027374017991,0.0678086837123078,0.033930484965594115
78,0.04238287480201781,0.03904421347131303,0.07877382896513252
79,0.05598743583796804,0.052905966101555076,0.055038593753980326
80,0.05496153006664609,0.05241319939906966,0.04636571551931577
81,0.050762111190791076,0.04954234400465394,0.0240290870005899
82,0.04567408512234752,0.04350029334593051,0.04759354830193218
83,0.03535822075951216,0.03492266963557187,0.012318242111295005
84,0.0402264808007076,0.0384813196253577,0.043383391751216735
85,0.04430442586532916,0.042046029090307545,0.050974518480081284
86,0.04181965695012876,0.040610152003877874,0.02892192414904923
87,0.033286315583747096,0.03096106331275353,0.06985610243174321
88,0.030902876151464063,0.0316152198994352,-0.022531671461942387
89,0.04528020606030116,0.04342355458384869,0.04100360042487242
90,0.04260000301126277,0.038970176965603634,0.08520717814736938
91,0.03188605516246398,0.02864199959306014,0.10173900637363005
92,0.032096935708495804,0.028533347736119177,0.11102580024277438
93,0.04523346841257179,0.03958645534732072,0.12484147829976237
94,0.04075563385965865,0.03491554090735855,0.14329535328564294
95,0.03213339783436787,0.028236853536182785,0.1212615086107571
96,0.026865830760638865,0.024368549418204613,0.09295381053665458
97,0.04772480882863812,0.0458227042037618,0.03985567824286239
98,0.04093386457360098,0.035286757036576695,0.13795686275529945
99,0.039216442298903524,0.03457497894365829,0.11835503383678962
100,0.03486263810813682,0.03207008864384631,0.0801014959231882
101,0.03390825892946201,0.025551116132248405,0.24646334141185586
102,0.03333295223972297,0.02653126100705795,0.20405306987958383
103,0.03389099514204596,0.02459625155050331,0.27425407700735743
104,0.05964074939519174,0.04661428634059503,0.21841548247961667
105,0.023711965951228393,0.01730203647785254,0.27032467432519186
106,0.01773488182946293,0.015774121301704226,0.11055954849957306
107,0.013891582333539943,0.012370301501301023,0.10951098267372521
108,0.018143540160638724,0.020662933026086825,-0.12192813393274725
109,0.012696440884054985,0.012905316567183592,-0.016185242883521977
110,0.012441042723176629,0.012626087960974572,-0.014655785574272181
111,0.011466264514993246,0.011396705886511016,0.006066372216625214
112,0.011934572807589536,0.011923092926306673,0.0009619013154423321
113,0.013834259554022876,0.015102277847063523,-0.08396205565024743
114,0.016113511347421065,0.017464017301742393,-0.07733077281059428
115,0.02126858871402883,0.02350686914612411,-0.09521814318111069
116,0.021354324475935934,0.02381859730186098,-0.10346003144914458
117,0.024517613671123015,0.027916783837295577,-0.12176080833607424
118,0.016887220485616587,0.025425091074287382,-0.3358049166362759
119,0.02107837513212481,0.033021135005092524,-0.3616701809651879
120,0.025864882050372403,0.03382428772260925,-0.23531628330244259
121,0.013098313956518011,0.015962370228367818,-0.17942550077932015
122,0.010766278657292683,0.015356780712131105,-0.2989234619474738
123,0.01444446580248702,0.016740558220049783,-0.137157458394236
124,0.012563573605518255,0.015958788869627497,-0.2127489305012963
125,0.022861140768359847,0.020820751521139564,0.08925141872378525
